episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
1680000,4111380,1338.2,0.079469,0.039735,0.379334,0.258271,0.31122,0.833437
1690000,4135356,1348.2,0.083374,0.041687,0.35582,0.333603,0.399215,0.505877
1700000,4159333,1358.3,0.078001,0.039001,0.39108,0.338652,0.308702,0.601893
1710000,4183365,1368.2,0.079514,0.039757,0.379306,0.37453,0.355692,0.548645
1720000,4207340,1377.7,0.078428,0.039214,0.392512,0.283765,0.568005,0.558039
1730000,4231345,1387.6,0.073488,0.036744,0.470324,0.306956,0.365872,0.596946
1740000,4255294,1396.9,0.070189,0.035094,0.430813,0.39997,0.632312,0.475121
1750000,4279300,1406.1,0.070996,0.035498,0.315316,0.29628,0.531597,0.455251
1760000,4303316,1416.0,0.065361,0.032681,0.414874,0.352204,0.503583,0.496996
1770000,4327436,1425.2,0.072722,0.036361,0.450447,0.313167,0.665237,0.403893
1780000,4351512,1434.5,0.071445,0.035723,0.390709,0.418312,0.653194,0.430621
1790000,4375756,1443.7,0.064832,0.032416,0.411614,0.343918,0.794912,0.653396
1800000,4399892,1453.0,0.05911,0.029555,0.393735,0.311752,0.606573,0.462086
1810000,4424096,1462.1,0.061303,0.030651,0.466169,0.369447,0.409257,0.908941
1820000,4448190,1471.3,0.06345,0.031725,0.412982,0.333003,0.61344,0.664382
1830000,4472327,1480.7,0.055918,0.027959,0.345974,0.324054,0.483895,0.537327
1840000,4496600,1489.8,0.052304,0.026152,0.441017,0.32575,0.579436,0.478704
1850000,4520785,1499.0,0.064615,0.032308,0.401195,0.30565,0.366772,0.628063
1860000,4545008,1508.3,0.065001,0.032501,0.300859,0.332703,0.39435,0.556497
1870000,4569273,1517.4,0.048742,0.024371,0.376117,0.31546,0.555597,0.550236
1880000,4593434,1526.6,0.060759,0.030379,0.40048,0.361838,0.718102,0.698754
1890000,4617633,1535.6,0.051697,0.025848,0.409223,0.35567,0.60601,0.706127
1900000,4641846,1544.8,0.050334,0.025167,0.352224,0.395343,0.570942,0.583861
1910000,4666122,1553.9,0.055697,0.027849,0.368803,0.347748,0.42916,0.501786
1920000,4690197,1563.0,0.047318,0.023659,0.392732,0.423653,0.442097,0.700789
1930000,4714346,1572.1,0.048228,0.024114,0.426796,0.348129,0.692298,0.737252
1940000,4738417,1581.1,0.045219,0.022609,0.311598,0.343588,0.476696,0.664612
1950000,4762356,1590.0,0.048929,0.024465,0.370669,0.381563,0.628279,0.558902
1960000,4786505,1599.0,0.042229,0.021114,0.356469,0.309213,0.536734,0.641286
1970000,4810555,1608.2,0.043769,0.021885,0.407665,0.392544,0.536126,0.656265
1980000,4834589,1617.1,0.03918,0.01959,0.39384,0.34335,0.639843,0.675175
1990000,4858623,1626.0,0.040918,0.020459,0.377814,0.354966,0.464331,0.859223
2000000,4882719,1635.1,0.047739,0.023869,0.323564,0.410836,0.593396,0.639032
2010000,4906721,1643.9,0.041529,0.020765,0.396917,0.404171,0.627137,0.581175
2020000,4930637,1653.2,0.038926,0.019463,0.368889,0.334716,0.416381,0.597813
2030000,4954682,1662.7,0.038081,0.019041,0.348699,0.367135,0.59846,0.504516
2040000,4978740,1672.3,0.0388,0.0194,0.470725,0.313209,0.450055,0.424021
2050000,5002662,1682.3,0.04193,0.020965,0.42538,0.353001,0.506257,0.620549
2060000,5026599,1692.6,0.037446,0.018723,0.483027,0.343973,0.477103,0.56692
2070000,5050562,1705.0,0.042295,0.021147,0.406143,0.327149,0.678595,0.65022
2080000,5074396,1718.9,0.038544,0.019272,0.38968,0.433683,0.524529,0.513064
2090000,5098253,1732.7,0.046038,0.023019,0.391468,0.312635,0.514343,0.462327
2100000,5122115,1744.8,0.040488,0.020244,0.387241,0.335,0.434343,0.586781
2110000,5146047,1755.2,0.042861,0.021431,0.348955,0.262685,0.638356,0.821193
2120000,5169946,1765.6,0.040197,0.020099,0.424194,0.373068,0.517808,0.708801
2130000,5193737,1776.1,0.037233,0.018616,0.451877,0.356631,0.624738,0.751419
2140000,5217641,1786.6,0.040185,0.020092,0.370393,0.314697,0.620565,0.436806
2150000,5241537,1797.5,0.042555,0.021278,0.41195,0.33162,0.290658,0.675926
2160000,5265491,1808.4,0.04388,0.02194,0.460885,0.372131,0.509817,0.532143
2170000,5289243,1819.7,0.042601,0.021301,0.435602,0.299492,0.509119,0.663212
2180000,5313184,1830.0,0.039244,0.019622,0.46497,0.324423,0.848877,0.530394
2190000,5337113,1840.0,0.040953,0.020477,0.420611,0.383503,0.607968,0.542384
2200000,5360981,1849.9,0.04782,0.02391,0.391521,0.392319,0.64764,0.745853
2210000,5384967,1860.2,0.044865,0.022432,0.379857,0.326377,0.659753,0.619054
2220000,5408922,1870.1,0.04062,0.02031,0.439506,0.317992,0.635461,0.535526
2230000,5433030,1880.0,0.042415,0.021208,0.44995,0.310753,0.624625,0.563502
2240000,5457137,1890.0,0.045424,0.022712,0.519511,0.387184,0.765966,0.472422
2250000,5481225,1899.8,0.044872,0.022436,0.346281,0.3078,0.323133,0.699059
2260000,5505375,1909.6,0.048918,0.024459,0.437053,0.330591,0.638242,0.62392
2270000,5529514,1919.4,0.043622,0.021811,0.331779,0.339506,0.461712,0.720769
2280000,5553696,1929.4,0.042204,0.021102,0.474188,0.271818,0.405264,0.512715
2290000,5577798,1939.1,0.047102,0.023551,0.545952,0.398581,0.600168,0.796044
2300000,5601946,1948.7,0.040247,0.020124,0.426098,0.330703,0.504974,0.512957
2310000,5626066,1957.9,0.050832,0.025416,0.469209,0.302507,0.615532,0.589964
2320000,5650193,1967.2,0.049367,0.024683,0.4622,0.39915,0.734438,0.507493
2330000,5674325,1976.7,0.04344,0.02172,0.390396,0.328524,0.44461,0.707885
2340000,5698600,1986.5,0.04257,0.021285,0.430345,0.29709,0.656955,0.58014
2350000,5722782,1995.8,0.043335,0.021668,0.35869,0.40174,0.553922,0.537775
2360000,5746992,2005.0,0.046226,0.023113,0.38579,0.324088,0.51127,0.561277
2370000,5771319,2015.6,0.042,0.021,0.363119,0.324013,0.673686,0.551317
2380000,5795503,2024.9,0.049024,0.024512,0.390842,0.287901,0.494924,0.798486
2390000,5819664,2034.1,0.042183,0.021091,0.435174,0.375743,0.538006,0.543315
2400000,5843888,2043.7,0.0499,0.02495,0.46465,0.329398,0.650004,0.61025
