detector,job,level,hidden,cap,hands,auroc,auroc_lo,auroc_hi,tpr,tpr_lo,tpr_hi,trials,fpr_heldout
D2,mix,0.2,128,1000,300,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.052
D2,anti,,128,1000,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.052
D1,imitate,0.05,128,1000,1000,0.8705,0.8559,0.8852,0.532,0.501,0.5627,1000,0.0467
D1,imitate,0.1,128,1000,1000,1.0,0.9996,1.0,1.0,0.9962,1.0,1000,0.0467
D1,imitate,0.2,128,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0467
D1,mix,0.05,128,1000,1000,0.9659,0.958,0.9739,0.829,0.8044,0.8511,1000,0.0467
D1,mix,0.1,128,1000,1000,1.0,0.9997,1.0,1.0,0.9962,1.0,1000,0.0467
D1,mix,0.2,128,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0467
D1,anti,,128,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0467
D2,imitate,0.05,128,1000,1000,0.4857,0.4604,0.511,0.001,0.0002,0.0056,1000,0.0462
D2,imitate,0.1,128,1000,1000,0.4867,0.4614,0.512,0.176,0.1536,0.2008,1000,0.0462
D2,imitate,0.2,128,1000,1000,0.4956,0.4703,0.5209,0.016,0.0099,0.0258,1000,0.0462
D2,mix,0.05,128,1000,1000,0.9888,0.9841,0.9934,0.376,0.3465,0.4064,1000,0.0462
D2,mix,0.1,128,1000,1000,0.9935,0.9899,0.997,1.0,0.9962,1.0,1000,0.0462
D2,mix,0.2,128,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0462
D2,anti,,128,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0462
D1,imitate,0.05,128,1000,3000,0.9878,0.983,0.9926,0.953,0.9381,0.9645,1000,0.0488
D1,imitate,0.1,128,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0488
D1,imitate,0.2,128,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0488
D1,mix,0.05,128,1000,3000,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0488
D1,mix,0.1,128,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0488
D1,mix,0.2,128,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0488
