episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
1630000,4001850,2250.7,0.08968,0.04484,0.334412,0.317268,0.35379,0.374525
1640000,4025663,2265.5,0.086045,0.043023,0.332983,0.355617,0.415804,0.532894
1650000,4049612,2279.7,0.085281,0.04264,0.404487,0.316309,0.556679,0.561974
1660000,4073418,2299.0,0.084647,0.042324,0.363536,0.382159,0.337564,0.464497
1670000,4097358,2314.9,0.087059,0.04353,0.49247,0.368249,0.499866,0.41792
1680000,4121311,2329.9,0.089801,0.044901,0.408279,0.357795,0.423705,0.372511
1690000,4145182,2345.7,0.090458,0.045229,0.301267,0.366294,0.631458,0.644443
1700000,4169066,2361.6,0.087474,0.043737,0.410604,0.353023,0.805243,0.671385
1710000,4192922,2375.4,0.087094,0.043547,0.411387,0.269223,0.283422,0.629137
1720000,4216753,2388.9,0.083482,0.041741,0.381127,0.317091,0.543926,0.513862
1730000,4240592,2403.0,0.084341,0.04217,0.361986,0.379077,0.480795,0.535216
1740000,4264382,2418.9,0.083928,0.041964,0.480369,0.2783,0.447628,0.705673
1750000,4288178,2435.7,0.086754,0.043377,0.308777,0.354048,0.422781,0.424483
1760000,4312125,2453.3,0.07808,0.03904,0.371642,0.357096,0.661546,0.556477
1770000,4336037,2469.0,0.078222,0.039111,0.411591,0.37588,0.328488,0.738461
1780000,4359913,2485.1,0.077974,0.038987,0.396873,0.361257,0.579186,0.510334
1790000,4383837,2501.3,0.084093,0.042046,0.504134,0.302801,0.515273,0.550957
1800000,4407669,2517.4,0.08004,0.04002,0.453416,0.464532,0.481956,0.411213
1810000,4431560,2532.5,0.080707,0.040354,0.385892,0.285343,0.53831,0.581279
1820000,4455575,2548.7,0.079066,0.039533,0.471286,0.31458,0.427208,0.581718
1830000,4479658,2566.4,0.07753,0.038765,0.369213,0.376416,0.61732,0.380509
1840000,4503433,2582.4,0.072145,0.036073,0.365294,0.326556,0.595316,0.451426
1850000,4527453,2596.3,0.07215,0.036075,0.351326,0.356745,0.497675,0.560468
1860000,4551407,2611.2,0.073929,0.036965,0.349486,0.35762,0.451211,0.374275
1870000,4575448,2625.0,0.067219,0.03361,0.435344,0.317731,0.451808,0.365932
1880000,4599508,2639.0,0.068,0.034,0.37472,0.355747,0.427666,0.569076
1890000,4623586,2652.8,0.062831,0.031416,0.378986,0.33994,0.618562,0.623648
1900000,4647645,2666.8,0.065912,0.032956,0.474892,0.343018,0.496196,0.573039
1910000,4671751,2680.3,0.058201,0.0291,0.47683,0.354929,0.689069,0.54701
1920000,4695635,2694.2,0.05948,0.02974,0.378005,0.389019,0.561584,0.557502
1930000,4719759,2707.4,0.058086,0.029043,0.385424,0.350548,0.37637,0.610072
1940000,4743755,2721.2,0.060225,0.030112,0.369427,0.315198,0.490147,0.662607
1950000,4767828,2734.8,0.055924,0.027962,0.439032,0.25362,0.515874,0.372426
1960000,4791993,2748.5,0.058,0.029,0.413417,0.394874,0.421959,0.41632
1970000,4816078,2761.4,0.052045,0.026023,0.434398,0.36932,0.517297,0.440192
1980000,4840182,2774.1,0.052598,0.026299,0.485124,0.322781,0.604773,0.74612
1990000,4864417,2787.4,0.058846,0.029423,0.401439,0.319202,0.506723,0.564969
2000000,4888551,2799.9,0.065981,0.032991,0.361081,0.354923,0.620683,0.509235
2010000,4912722,2812.8,0.050867,0.025434,0.426129,0.379512,0.554889,0.642724
2020000,4936730,2825.7,0.056687,0.028343,0.43347,0.340204,0.509566,0.499106
2030000,4960606,2838.6,0.050936,0.025468,0.51449,0.377103,0.791752,0.600526
2040000,4984483,2852.0,0.04902,0.02451,0.435647,0.346754,0.37578,0.675776
2050000,5008516,2865.2,0.055624,0.027812,0.520773,0.400794,0.594573,0.552399
2060000,5032358,2878.1,0.049471,0.024736,0.406594,0.301936,0.54882,0.574611
2070000,5056218,2890.7,0.062231,0.031115,0.289621,0.349666,0.315836,0.392996
2080000,5080225,2906.2,0.049236,0.024618,0.429084,0.395888,0.47454,0.478876
2090000,5103971,2923.5,0.052759,0.02638,0.429579,0.311399,0.656935,0.572779
2100000,5127810,2938.7,0.046034,0.023017,0.4439,0.313515,0.594415,0.578957
2110000,5151613,2954.0,0.044739,0.022369,0.431556,0.331079,0.420413,0.545623
